"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","Funding Details","Funding Texts","References","Correspondence Address","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Córdova-Berona H.A.; Nuñez Diaz L.A.; Vargas Calderon A.C.; Briones-Zuñiga J.","Córdova-Berona, Helí Alejandro (58029958700); Nuñez Diaz, Luis Alberto (60466516900); Vargas Calderon, Arnold Cesar (60466126800); Briones-Zuñiga, Jose (57930964600)","58029958700; 60466516900; 60466126800; 57930964600","Optimizing Healthcare Delivery with a Generative AI-Based Chatbot Platform: A Systematic Review; [Optimización de la atención en salud mediante una plataforma con chatbot basado en inteligencia artificial generativa: Una revisión sistemática]","2025","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","","","","","","","10.18687/LEIRD2025.1.1.828","https://www.scopus.com/pages/publications/105032444908?origin=resultslist","Universidad Tecnológica del Perú, Peru","Córdova-Berona H.A., Universidad Tecnológica del Perú, Peru; Nuñez Diaz L.A., Universidad Tecnológica del Perú, Peru; Vargas Calderon A.C., Universidad Tecnológica del Perú, Peru; Briones-Zuñiga J., Universidad Tecnológica del Perú, Peru","Limited access to healthcare is a major challenge for global health systems, with over 70% of facilities in developing countries lacking adequate technological infrastructure. The scarcity of evidence on the effective implementation of generative AI-based chatbots exacerbates this issue, hindering service optimization. This systematic review analyzes how generative artificial intelligence chatbot platforms optimize healthcare delivery. A review was conducted using PICO components and the PRISMA protocol, selecting 40 articles from Scopus, Web of Science, and EBSCOhost (2020-2024). The results indicate that limitations were addressed through relational agents, gamified chatbots with OMO (Online-Merge-Offline) strategies, culturally-appropriate adaptive systems, and empathetic frameworks. Effectiveness was validated through experimental studies, showing improvements of 95% in continuous availability, 90% in geographical coverage, 85% in response time, and 78% in adherence compared to the traditional 60%. Mental health emerged as the most effective sector, with 30% of successful implementations. In conclusion, generative AI chatbots are effective tools for overcoming traditional access barriers, with variations across sectors. The quality of implementation is more important than the specific chatbot type, where cultural adaptation and personalization determine sustainable success. It is suggested that large-scale studies be developed in low- and middle-income countries, and that these systems be integrated with medical IoT technologies. © LEIRD 2025.All rights reserved.","chatbot; conversational agents; Generative artificial intelligence; healthcare; healthcare optimization","","","","","","","","Huang H.; Wen Chuang H., Revolutionizing mHealth Interaction with a Gamified Chatbot: An OMO Strategy Approach, International Conference on Wireless and Mobile Computing, Networking and Communications, (2024); Forman-Hoffman V.L.; Pirner M.C.; Flom M.; Kirvin-Quamme A.; Durden E.; Kissinger J.A., Engagement, Satisfaction, and Mental Health Outcomes Across Different Residential Subgroup Users of a Digital Mental Health Relational Agent: Exploratory Single-Arm Study, JMIR Formative Research, (2023); Abroms L.C.; Yousefi A.; Wysota C.N.; Wu T.-C.; Broniatowski D.A., Assessing the Adherence of ChatGPT Chatbots to Public Health Guidelines for Smoking Cessation: Content Analysis, Journal of Medical Internet Research, (2025); Nkabane-Nkholongo E.; Mokgatle M.; Bickmore T.; Julce C.; Jack B.W., Adaptation of the Gabby conversational agent system to improve the sexual and reproductive health of young women in Lesotho, Frontiers in Digital Health, (2023); Nguyen T.A.; Tran K.; Esterman A.; Brijnath B.; Xiao L.D.; Schofield P., Empowering dementia carers with an iSupport virtual assistant (e-DiVA) in Asia-Pacific regional countries: Protocol for a pilot multisite randomized controlled trial, JMIR Research Protocols, (2021); Bickmore T.; Gruber A.; Picard R., Establishing the computer-patient working alliance in automated health behavior change interventions, Patient Education and Counseling, (2020); Morales H.M.P.; Molina-Fuentes V.S.; Miranda-Cantellops N., COVID-19 in Brazil—Preliminary Analysis of Response Supported by Artificial Intelligence in Municipalities, Frontiers in Public Health, (2021); Loveys K.; Sagar M.; Broadbent E., A Digital human for delivering a remote loneliness and stress intervention to at-risk younger and older adults during the COVID-19 pandemic: Randomized pilot trial, JMIR Mental Health, (2021); Ollier J.; Chambon M.; Husson P.; Chauvin F.; Gagnaire A., Corrigendum: Elena+ Care for COVID-19, a Pandemic Lifestyle Care Intervention: Intervention Design and Study Protocol, Frontiers in Public Health, (2021); Castro O.; Bennie M.; Walker A.; Klyashko O.; Pratt N.; Roughead E., Development of 'LvL UP 1.0': a smartphone-based, conversational agent-delivered holistic lifestyle intervention for the prevention of noncommunicable diseases and common mental disorders, BMJ Open, (2023); Weng J.H.; Liu X.; Fung D.; Mahendran R., Mental Wellness Self-Care in Singapore With mindline.sg: A Tutorial on the Development of a Digital Mental Health Platform for Behavior Change, JMIR Mental Health, (2024); Loveys K.; Sagar M.; Zhang X.; Broadbent E., Development of a Virtual Human for Supporting Tobacco Cessation During the COVID-19 Pandemic, JMIR Formative Research, (2023); Bharti U.; Bajaj D.; Batra H.; Lalit S.; Lalit S.; Gangwani A., Medbot: Conversational artificial intelligence powered chatbot for delivering telehealth after covid-19, 5th International Conference on Intelligent Computing and Control Systems, (2020); Yildiz M.S.; Ozkan S.; Yildiz S., Potential functions of artificial intelligence chatbot ChatGPT in health management: Scoping review, Turkish Journal of Medical Sciences, (2023); Del Fiol G., Population health management, Nature Medicine, (2023); Chew A.M.K.; Ong B.; Mahendran R.; Seow E., Digital Health Solutions for Mental Health Disorders During COVID-19, Frontiers in Psychiatry, (2020); D'Adamo L.; McEnery C.; Boydell K., Response to a comment on: Rates and correlates of study enrolment and use of a conversational agent among help-seeking young people, Early Intervention in Psychiatry, (2024); Teague S.J.; Youssef G.J.; Macdonald J.A., User-centred design and evaluation of an mHealth app for fathers' perinatal mental health: mixed methods study, JMIR mHealth and uHealth, (2025); Sharp G.; McDonald S.; Sim M., Co-design of a single session intervention chatbot for people on waitlists for eating disorder treatment, International Journal of Eating Disorders, (2025); Jabir A.I.; Martinengo L.; Lin X., Attrition in Conversational Agent–Delivered Mental Health Interventions: Systematic Review and Meta-analysis, Journal of Medical Internet Research, (2024); Martinengo L.; Lin X.; Jabir A.I., Conversational Agents in Health Care: Expert Interviews to Inform the Definition of Conversational Agents, Journal of Medical Internet Research, (2023); Salamanca-Sanabria A.; Gashi S.; Vogel J., A holistic lifestyle mobile health intervention for the prevention of type 2 diabetes (SPOON): protocol for a randomized controlled trial, JMIR Research Protocols, (2024); Ma Y.; Laymouna M.; Lessard D., The first AI‐based Chatbot to promote HIV self‐management: A mixed methods usability study, JMIR Human Factors, (2025); Jabir A.I.; Martinengo L.; Lin X., Evaluating Conversational Agents for Mental Health: Scoping Review of Outcomes and Outcome Measurement Instruments, Journal of Medical Internet Research, (2023); Li Y.H.; Tam W.W.S.; Man S.S., Innovation and challenges of artificial intelligence technology in personalized medicine and health care, Personalized Medicine, (2024); Rambaud K.; van Woerden S.; Palumbo L., Building a Chatbot in a Pandemic: Lessons Learned from Creating a COVID-19 Information System in 6 Languages, JMIR Public Health and Surveillance, (2023); Lin X.; Martinengo L.; Jabir A.I., Scope, Characteristics, Behavior Change Techniques, and Engagement Features of mHealth Interventions for Young People: Systematic Review, JMIR mHealth and uHealth, (2023); Loveys K.; Sagar M.; Broadbent E., Development of a Virtual Human for Supporting Tobacco Cessation During the COVID-19 Pandemic, JMIR Formative Research, (2023); Salamanca-Sanabria A.; Jabir A.I.; Lin X., Exploring the Perceptions of mHealth Interventions Among Diverse Stakeholders: Qualitative Study, JMIR mHealth and uHealth, (2023); Laymouna M.; Ma Y.; Lessard D., Roles, Users, Benefits, and Limitations of Chatbots in HIV Care: Scoping Review, JMIR HIV, (2024); Balaji D.; He L.W.; Giani S., Effectiveness and acceptability of conversational agents for anxiety and depression: systematic review and meta-analysis, Journal of Medical Internet Research, (2022); Ollier J.; Suryapalli P.; Fleisch E., Can digital health researchers make a difference during a global pandemic? A call to action, Digital Health, (2023); Weeks R.; Cooper L.; Sangha P., Chatbot-Delivered COVID-19 Vaccine Communication Messaging: Natural Language Processing Approach, JMIR Formative Research, (2022); Trzebinski W.; Claessens T.; Buhmann J., The Effects of Expressing Empathy/Autonomy Support on Rapport in Human-Chatbot Interaction, Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems, (2023); Schick A.; Feine J.; Morana S., Validity of Chatbot Use for Mental Health Assessment: Experimental Study, JMIR Mental Health, (2022); Beilharz F.; Sukunesan S.; Rossell S.L., Development of a Positive Body Image Chatbot (KIT) With Young People and Parents/Carers: Qualitative Focus Group Study, JMIR Formative Research, (2021); Roca S.; Lozano M.L.; Garcia J.; Alesanco A., Validation of a Virtual Assistant for Improving Medication Adherence in Anticoagulated Patients: Randomized Controlled Trial, Journal of Medical Internet Research, (2021); Salamanca-Sanabria A.; Jabir A.I.; Lin X.W., Exploring the Perceptions of mHealth Interventions Among Diverse Stakeholders: Qualitative Study, JMIR mHealth and uHealth, (2023); Nguyen T.A.; Tran K.; Esterman A., Empowering Dementia Carers With an iSupport Virtual Assistant (e-DiVA) in Asia-Pacific Regional Countries: Protocol for a Pilot Multisite Randomized Controlled Trial, JMIR Research Protocols, (2021); Bezie A.; Morisseau V.; Rolland R., Using a Chatbot to Study Medication Overuse Among Patients With Migraine: Feasibility Study, JMIR mHealth and uHealth, (2022)","","Larrondo Petrie M.M.; Texier J.; Rivas Matta R.A.","Latin American and Caribbean Consortium of Engineering Institutions","","5th LACCEI International Multiconference on Entrepreneurship, Innovation and Regional Development - Entrepreneurship with Purpose: Social and Technological Innovation in the Age of AI, LEIRD 2025","1 December 2025 through 3 December 2025","Virtual","218522","24146390","978-628966132-3","","","Spanish","Proc. LACCEI int. multi-conf. eng. educ. technol.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105032444908"
"Leiva-Guerrero M.V.; Zamorano I.A.; Collins R.E.; Castro F.S.","Leiva-Guerrero, María Verónica (57216896200); Zamorano, Ignacio Araya (60407786400); Collins, Rafael Escobar (60407197600); Castro, Francisca Silva (60407493200)","57216896200; 60407786400; 60407197600; 60407493200","Feedback on learning with generative artificial intelligence in university students; [Retroalimentación de aprendizajes con inteligencia artificial generativa en estudiantes universitarios]","2026","RIED-Revista Iberoamericana de Educacion a Distancia","29","1","","241","265","","10.5944/ried.45547","https://www.scopus.com/pages/publications/105030562559?origin=resultslist","Pontificia Universidad Católica de Valparaíso, PUCV, Chile","Leiva-Guerrero M.V., Pontificia Universidad Católica de Valparaíso, PUCV, Chile; Zamorano I.A., Pontificia Universidad Católica de Valparaíso, PUCV, Chile; Collins R.E., Pontificia Universidad Católica de Valparaíso, PUCV, Chile; Castro F.S., Pontificia Universidad Católica de Valparaíso, PUCV, Chile","Assessment for learning has become increasingly important in university teaching, particularly regarding the feedback process. However, there is still a perception of student dissatisfaction with the quality of feedback provided by faculty, highlighting the need to innovate in feedback strategies. This study aimed to explore the pedagogical and technological relevance of integrating Wilson's Feedback Ladder with generative artificial intelligence, specifically GPT-4o, to strengthen formative feedback in university students. The study was conducted using a qualitative and exploratory approach in two phases. First, a prompt was designed and validated using the Delphi method with the participation of eight experts in assessment and artificial intelligence, applying it to seven state-of-the-art language models. In the second phase, the validated prompt was implemented in two university courses of different nature, Assessment for Learning and Data Structures, integrating automatic feedback into the Moodle platform. The results showed that the experts agreed on the suitability of AI-mediated Wilson's Ladder and highlighted the superior performance of GPT-4o. At the classroom level, students valued the clarity, usefulness, and immediacy of the feedback, although they identified limitations in the tool's lack of contextualization and impersonal tone. It is concluded that the integration of Wilson's Ladder with generative artificial intelligence represents a promising innovation, but one that requires disciplinary adjustments, teacher supervision, and careful attention to the human dimension of feedback in e-learning contexts. © (2025), (Feedback on learning with generative artificial intelligence in university students [Retroalimentación de aprendizajes con inteligencia artificial generativa en estudiantes universitarios]). All rights reserved.","ChatGPT; ChatGPT; Escalera de Wilson; estudiantes universitarios; evaluación formativa; feedback; formative evaluation; generative artificial intelligence; inteligencia artificial generativa; Ladder of Feedback; retroalimentación; university students","","","","","","","","Al-Azawei A.; Abdullah A. A.; Mohammed M. K.; Abod Z. A., Predicting online learning success based on learners' perceptions: The integration of the information system success model and the security triangle framework, International Review of Research in Open and Distributed Learning, 24, 2, (2023); Andrade H. L.; Brookhart S. M., Classroom assessment as the coregulation of learning, Assessment in Education: Principles, Policy & Practice, 26, 1, pp. 103-117, (2019); (2024); Ayeni O. O.; Al Hamad N. M.; Chisom O. N.; Osawaru B.; Adewusi O. E., AI in education: A review of personalized learning and educational technology, GSC Advanced Research and Reviews, 18, 2, pp. 261-271, (2024); Baral S.; Worden E.; Lim W.-C.; Luo Z.; Santorelli C.; Gurung A.; Heffernan N., Automated feedback in math education: A comparative analysis of LLMs for open-ended responses, (2024); Black P.; Wiliam D., Classroom assessment and pedagogy, Assessment in Education: Principles, Policy & Practice, 25, 6, pp. 551-575, (2018); Bonales-Daimiel G.; Martinez-Estrella E. C.; Sierra-Sanchez J., Evolución del perfil docente y surgimiento de nuevos roles profesionales en la era de la inteligencia artificial (IA), Pixel-Bit. Revista de Medios y Educación, 73, (2025); Booth W. C.; Colomb G. G.; Williams J. M., The craft of research, (2008); Brown T. B.; Mann B.; Ryder N.; Subbiah M.; Kaplan J.; Dhariwal P.; Neelakantan A.; Shyam P.; Sastry G.; Askell A.; Agarwal S.; Herbert-Voss A.; Krueger G.; Henighan T.; Child R.; Ramesh A.; Ziegler D. M.; Wu J.; Winter C.; Amodei D., Language models are few-shot learners, (2020); Carless D.; Boud D., The development of student feedback literacy: Enabling uptake of feedback, Assessment & Evaluation in Higher Education, 43, 8, pp. 1315-1325, (2018); Carless D.; Winstone N., Teacher feedback literacy and its interplay with student feedback literacy, Teaching in Higher Education, 28, 1, pp. 150-163, (2023); Dai W.; Lin J.; Jin F.; Li T.; Tsai Y. S.; Gasevic D.; Chen G., Can large language models provide feedback to students? A case study on ChatGPT, EdArXiv, (2023); (2024); Teaching with AI – Assessment, feedback and personalisation, (2023); Galindo-Dominguez H.; Delgado N.; Losada D.; Etxabe J. M., An analysis of the use of artificial intelligence in education in Spain: The in-service teacher's perspective, Journal of Digital Learning in Teacher Education, 40, 1, pp. 41-56, (2023); Garcia-Penalvo F. J., La percepción de la inteligencia artificial en contextos educativos tras el lanzamiento de ChatGPT: ¿Disrupción o pánico?, Education in the Knowledge Society (EKS), 24, (2023); Garcia Penalvo F. J.; Llorens-Largo F.; Vidal J., La nueva realidad de la educación ante los avances de la inteligencia artificial generativa, RIED-Revista Iberoamericana de Educación a Distancia, 27, 1, pp. 9-39, (2024); Goodrich H., Escalera de la retroalimentación [Adaptación basada en la Escalera de Retroalimentación de Ron Berger], Protocols in the classroom, (2011); Gemini 2.5 [Multimodal AI model], (2024); Hao Y.; Sun Y.; Dong L.; Han Z.; Gu Y.; Wei F., Structured prompting: Scaling in-context learning to 1,000 examples, (2022); Holmes W.; Bialik M.; Fadel C., Artificial intelligence in education: Promises and implications for teaching and learning, (2019); Jauhiainen J. S.; Garagorry Guerra A., Generative AI in education: ChatGPT-4 in evaluating students' written responses, Innovations in Education and Teaching International, pp. 1-18, (2024); Landeta J., El método Delphi: Una técnica de previsión para la incertidumbre, (1999); Liu P.; Yuan W.; Fu J.; Jiang Z.; Hayashi H.; Neubig G., Pre-train, prompt, and predict: A systematic survey of prompting methods in natural language processing, ACM Computing Surveys, 55, 9, pp. 1-35, (2023); (2024); Lopez Regalado O.; Nunez-Rojas N.; Lopez Gil O. R.; Sanchez-Rodriguez J., El análisis del uso de la inteligencia artificial en la educación universitaria: Una revisión sistemática, Pixel-Bit. Revista de Medios y Educación, 70, pp. 97-122, (2024); Luckin R.; Holmes W., Intelligence unleashed: An argument for AI in education, (2016); Mayring P., Qualitative content analysis, Forum: Qualitative Social Research, 1, 2, pp. 1-10, (2000); Orientaciones para la implementación del Decreto 67/2018 de evaluación, calificación y promoción, (2019); Mistral AI., Mistral [Large language model], (2024); Molloy E.; Boud D.; Henderson M., Developing a learning-centred framework for feedback literacy, Assessment & Evaluation in Higher Education, 45, 4, pp. 527-540, (2020); Best practices for prompt engineering with the OpenAI API, (2023); GPT-4o, GPT-4.5 model cards, (2024); Ossa C.; Willatt C., Uso de inteligencia artificial generativa para retroalimentar escritura académica en procesos de formación inicial docente, European Journal of Education and Psychology, 16, 2, pp. 1-16, (2023); Puertas E.; Cano E., ¿Puede la inteligencia artificial proporcionar un feedback más sostenible?, Digital Education Review, 45, 1, pp. 50-58, (2024); Quezada S.; Salinas C., Modelo de retroalimentación para el aprendizaje: Una propuesta basada en la revisión de literatura, Revista Mexicana de Investigación Educativa, 26, 88, (2021); Reynolds L.; McDonell K., Prompt programming for large language models: Beyond the few-shot paradigm, En Extended abstracts of the 2021 CHI Conference on Human Factors in Computing Systems, pp. 1-7, (2021); Romero Alonso R.; Araya Carvajal K.; Reyes Acevedo N., Rol de la inteligencia artificial en la personalización de la educación a distancia: Una revisión sistemática, RIED-Revista Iberoamericana de Educación a Distancia, 28, 1, pp. 9-36, (2025); Sahoo S. S.; Plasek J. M.; Xu H.; Uzuner O.; Cohen T.; Yetisgen M.; Wang Y., Large language models for biomedicine: Foundations, opportunities, challenges, and best practices, Journal of the American Medical Informatics Association, 31, 9, pp. 2114-2124, (2024); Schulhoff S.; Ilie M.; Balepur N.; Kahadze K.; Liu A.; Si C.; Li Y.; Gupta A.; Han H.; Schulhoff S.; Dulepet P. S.; Vidyadhara S.; Ki D.; Agrawal S.; Pham C.; Kroiz G.; Li F.; Tao H.; Srivastava A.; Resnik P., The prompt report: A systematic survey of prompt engineering techniques; Shute V. J.; Rahimi S., Review of computer-based assessment for learning in elementary and secondary education, Journal of Computer Assisted Learning, 33, 1, pp. 1-19, (2017); Steurer J., The Delphi method: An efficient procedure to generate knowledge, Skeletal Radiology, 40, pp. 959-961, (2011); Valenzuela Caico R.; Perez Carvajal A., Inteligencia artificial en educación superior: ¿Un reemplazo para los profesores o una herramienta de apoyo?, Revista Iberoamericana de Investigación en Educación, 9, (2025); Vaswani A.; Shazeer N.; Parmar N.; Uszkoreit J.; Jones L.; Gomez A. N.; Kaiser L.; Polosukhin I., Attention is all you need, Advances in Neural Information Processing Systems, 30, (2017); Wei J.; Wang X.; Schuurmans D.; Bosma M.; Ichter B.; Xia F.; Chi E.; Le Q.; Zhou D., Chain-of-thought prompting elicits reasoning in large language models, (2023); Weng X.; Xia Q.; Gu M.; Rajaram K.; Chiu T. K., Assessment and learning outcomes for generative AI in higher education: A scoping review on current research status and trends, Australasian Journal of Educational Technology, 40, 6, pp. 37-55, (2024); Wiliam D., What is assessment for learning?, Studies in Educational Evaluation, 37, 1, pp. 3-14, (2011); Wilson D., Ladder of feedback [Documento de trabajo], (2013); Winstone N. E.; Boud D.; Dawson P.; Heron M., From feedback-as-information to feedback-as-process: A linguistic analysis of the feedback literature, Assessment & Evaluation in Higher Education, 47, 2, pp. 213-230, (2022); (2024); Zhang Z.; Dong Z.; Shi Y.; Price T.; Matsuda N.; Xu D., Students' perceptions and preferences of generative artificial intelligence feedback for programming, En Proceedings of the AAAI Conference on Artificial Intelligence, 38, 21, pp. 23250-23258, (2024)","","","Ibero-American Association for Distance Higher Education (AIESAD)","","","","","","11382783","","","","Spanish","RIED Rev. Iberoam. Educ. Distancia.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030562559"
"Berdasco-Gancedo Y.; Prieto-Preboste S.","Berdasco-Gancedo, Yolanda (55772022200); Prieto-Preboste, Silvia (56256472300)","55772022200; 56256472300","Impact of Generative Artificial Intelligence on Teachers’ Motivation and Perception Regarding the Use of Podcasts in Education; [Impacte de la Intelligència Artificial Generativa en la motivació i percepció dels docents per a l’ús de podcasts en l’educació]; [Impacto de la Inteligencia Artificial Generativa en la motivación y percepción de los docentes para el uso de podcasts en la educación]","2025","BiD","","54","","","","","10.1344/BID2025.54.03","https://www.scopus.com/pages/publications/105018952275?origin=resultslist","Universidad a Distancia de Madrid, Spain","Berdasco-Gancedo Y., Universidad a Distancia de Madrid, Spain; Prieto-Preboste S., Universidad a Distancia de Madrid, Spain","In order to assess motivation, as well as the obstacles, difficulties, and outcomes of the implemented experience, an experimental design with static groups was conducted to compare two groups of teachers trained in the creation of educational podcasts. One group was provided with generative artificial intelligence (AI) tools to complete the course assignments, while the other group did not have access to such tools. The research findings reveal some similarities between the two groups, particularly regarding the main barriers to podcast integration in their teaching practice, such as time constraints and the need for training in various areas. However, it is important to highlight that the teachers who received generative AI tools increased their intention to use podcasts in their classrooms and showed greater awareness of the importance of technological skills—over communicative or pedagogical ones—for the successful implementation of podcasts in educational settings. © Autores","digital education; Educational podcasting; generative artificial intelligence; teachers’ digital competencies","","","","","","","","Campbell Donald; Stanley Julian, Diseños experimentales y cuasi experimentales en la investigación social, (1973); Escofet Xavier; Camara Anna M. N.; Fraile Victor M., El codiseño como impulso del compromiso del estudiantado universitario, Dialnet, (2021); Faure-Carvallo A.; Vilaseca Corderroure J.; Rius S.; Villalba Palacin V.; Marques A.; Fedele M.; Lopez Gonzalez H.; Masanet M.-J.; Villanueva Baselga S.; Franganillo J.; Garcia Asensio M.A.; Guallar J.; Sanchez L.; Termens i Graells M., Ràdio FIMA: desenvolupament de les competències professionalitzadores de l’alumnat mitjançant la creació del canal de podcast de la facultat, Revista del Congrés Internacional de Docència Universitària i Innovació (CIDUI), 6, (2023); Fisher Ronald A., The Design of Experiments, (1971); McQuillan Dan, Resisting AI, (2022); Perpina-Galvan Jose; Richart-Martinez Maria; Cabanero-Martinez Maria J.; Martinez-Dura Ignacio, Validez de contenido de versión corta de la subescala del cuestionario State-Trait Anxiety Inventory (STAI), Revista Latino-Americana de Enfermagem, (2011); Guía para el uso de IA generativa en educación e investigación, (2023); Williamson Ben, The Social Life of AI in Education, International Journal of Artificial Intelligence in Education, 34, pp. 97-104, (2024)","","","Universitat de Barcelona","","","","","","15755886","","","","English","BiD","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105018952275"
